,mod_date,pub_date,cvss,cwe_code,cwe_name,
CVE-2019-16548,21/11/2019 15:15,21/11/2019 15:15,6.8,352, Cross-Site Request Forgery (CSRF),
CVE-2019-16547,21/11/2019 15:15,21/11/2019 15:15,4,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-16546,21/11/2019 15:15,21/11/2019 15:15,4.3,639, Authorization Bypass Through User-Controlled Key,
CVE-2013-2092,20/11/2019 21:22,20/11/2019 21:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2013-2091,20/11/2019 20:15,20/11/2019 20:15,7.5,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
CVE-2013-1817,20/11/2019 20:15,20/11/2019 20:15,5,200, Information Exposure,
CVE-2013-1816,20/11/2019 20:15,20/11/2019 20:15,5,20, Improper Input Validation,
CVE-2012-1257,20/11/2019 20:15,20/11/2019 20:15,2.1,319, Cleartext Transmission of Sensitive Information,
CVE-2011-4455,20/11/2019 20:10,20/11/2019 19:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2011-4454,20/11/2019 20:10,20/11/2019 19:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2010-4659,20/11/2019 17:48,20/11/2019 17:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2010-4660,20/11/2019 16:15,20/11/2019 16:15,7.5,20, Improper Input Validation,
CVE-2013-0195,20/11/2019 15:15,20/11/2019 15:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2013-0194,20/11/2019 15:15,20/11/2019 15:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2013-0193,20/11/2019 15:15,20/11/2019 15:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2012-6136,20/11/2019 15:15,20/11/2019 15:15,4.9,276, Incorrect Default Permissions,
CVE-2011-1028,20/11/2019 15:15,20/11/2019 15:15,7.5,20, Improper Input Validation,
CVE-2019-15072,20/11/2019 5:15,20/11/2019 5:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-15071,20/11/2019 4:15,20/11/2019 4:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-6191,20/11/2019 2:15,20/11/2019 2:15,4.6,269, Improper Privilege Management,
CVE-2019-6189,20/11/2019 2:15,20/11/2019 2:15,4.4,426, Untrusted Search Path,
CVE-2019-6187,20/11/2019 2:15,20/11/2019 2:15,4,74, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),
CVE-2019-6184,20/11/2019 2:15,20/11/2019 2:15,4.6,269, Improper Privilege Management,
CVE-2011-3352,19/11/2019 23:15,19/11/2019 23:15,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-10766,19/11/2019 20:57,19/11/2019 20:15,7.5,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
CVE-2011-2922,19/11/2019 20:57,19/11/2019 19:15,7.2,20, Improper Input Validation,
CVE-2016-1000236,19/11/2019 18:43,19/11/2019 17:15,3.5,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),
CVE-2012-6135,19/11/2019 18:43,19/11/2019 17:15,6.4,20, Improper Input Validation,
CVE-2011-2921,19/11/2019 18:43,19/11/2019 17:15,10,273, Improper Check for Dropped Privileges,
CVE-2016-1000006,19/11/2019 16:43,19/11/2019 15:15,7.5,416, Use After Free,
CVE-2012-0842,19/11/2019 16:43,19/11/2019 15:15,2.1,200, Information Exposure,
CVE-2011-4954,19/11/2019 16:43,19/11/2019 16:15,7.2,269, Improper Privilege Management,
CVE-2011-4952,19/11/2019 16:43,19/11/2019 16:15,6.8,352, Cross-Site Request Forgery (CSRF),
CVE-2011-4919,19/11/2019 16:43,19/11/2019 16:15,5,200, Information Exposure,
CVE-2019-16861,19/11/2019 13:15,19/11/2019 13:15,6.9,426, Untrusted Search Path,
CVE-2019-16860,19/11/2019 13:15,19/11/2019 13:15,6.9,426, Untrusted Search Path,
CVE-2019-12422,18/11/2019 23:15,18/11/2019 23:15,5,20, Improper Input Validation,
CVE-2014-5118,18/11/2019 23:15,18/11/2019 23:15,2.1,20, Improper Input Validation,
CVE-2019-19117,18/11/2019 22:15,18/11/2019 22:15,9,20, Improper Input Validation,
CVE-2019-10764,18/11/2019 22:15,18/11/2019 22:15,5.8,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),
CVE-2012-4441,18/11/2019 22:15,18/11/2019 22:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2012-4440,18/11/2019 22:15,18/11/2019 22:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
